handle,name,rating,title,text,verified,photo
under-cabinet-rgb-bars,k**2,5,,OMG! All I can say is WOW! These lights are so amazing and cool. Easy to charge and set up. Perfect for my kitchen and bathrooms. I love how I can change the colors. Shipping was fast. I loved the quality of these lights so much that I placed another order. Very happy customer 😁🙌🏻,yes,
under-cabinet-rgb-bars,N**✰ **,5,,"Love the lights so far; my favorite is this purplish setting, the blue and the white light. Plus it came very fast! Installation: Easy just charge before using as recommended and the remote does need AAA batteries.",yes,
under-cabinet-rgb-bars,g**d,5,,"Love all the settings. So many options, ability to make brighter and dimmer, makes our home so much cozier. Easy installation with stickers already on the lights.",yes,
under-cabinet-rgb-bars,3**C,1,,"La verdad no me gustaron muy mala calidad, las luces no le sirve el sensor de movimiento, los colores tienen muy mala calidad, la verdad no lo recomendaría",yes,
retro-pumpkin-desk-lamp,D**9,3,,Didn’t realize it was going to be so small. I thought this was going to be like a medium size lamp something along the lines of 12 inches tall instead of 6. The ad on TikTok was misleading. Also whoever shipped this thing damaged the box. Light seems to work still but definitely not handled carefully.,yes,
retro-pumpkin-desk-lamp,r** M**d,2,,All of the ad photos were Ai. The real product looks much cheaper and is illuminated with an LED light strip that’s already come out of the lamp. Still kind of cute but not the quality that’s advertised.,yes,
retro-pumpkin-desk-lamp,**,1,,So incredible cheap! It does not look like the videos or images in the description. It’s poorly painted and when the light shines you can really see all the defects. I’m so disappointed,yes,
retro-pumpkin-desk-lamp,h**3,1,,The statue is cute and magical but it was broken in the package. Packaging seemed nice and was packed in there tight. However the top was broken right under the base of it. Sad.,yes,
ghost-campfire-nightlight,P**y C**i,1,,"Received my item in the mail and it was broken. It did not light up when I plugged it in and turned it on, and one of the ears was broken off the reindeer. I requested a refund and it was denied even though I sent a picture so now I have contacted TikTok. I wouldn’t recommend buying from them",yes,
ghost-campfire-nightlight,K**,5,,Adorable. Looks and works as shown. Delivery was fast. Can’t wait to use during the holidays.,yes,
ghost-campfire-nightlight,K**,1,,Unfortunately they sent the wrong item and i received a Christmas one instead of Halloween.,yes,
ghost-campfire-nightlight,M**e B**r,1,,Hermey is broke. So disappointed. Would like to exchange if possible.,yes,
hanging-ghosts-3pack,L**M,5,,"Exactly how descripted. Super easy to hang up. Ease of Use: Super easy to hang, and put eyes on and batteries in and they are good to go!!",yes,
hanging-ghosts-3pack,G**i,5,,I didnt expect them to be that big! Omgg i love them and im ordering more!,yes,
hanging-ghosts-3pack,J**b,5,,Super easy to setup/use. Absolutely love these!!,yes,
hanging-ghosts-3pack,b**e,5,,It was better than I expected. Would buy again.,yes,
ghost-swing-5ft-remote,b**r,5,,"These are wonderful!! I bought them off @cristinanaomi808 showcase. She is a mom on here with Lupus, lost her job and has 3 children in college. I will buy from people’s showcases that have a story behind them and are good people. The ghost is 5 ft exactly it comes with a sturdy would swing. It has a remote with lights. For it to swing you can push it or the wind moves it. It is not Mechanical like I thought but it’s a nice buy. My neighbors kids that are 6 and 7 found it the coolest thing ever!!",yes,
