handle,product,rating,reviews,sold,set_by,source
hero-mask-remote-ring,Light-Up Hero Mask with Remote Ring,4.5,445,,supplier,tiktok
hero-helmet-11-scale,1:1 Scale Spider Hero Helmet,4.3,223,,supplier,tiktok
led-purge-mask-glow,LED Skeleton Purge Mask,4.3,420,,supplier,tiktok
white-hero-mask-remote,White Spider Hero Mask with Remote Ring,,,,,
led-mask-gloves-set,LED Mask & Gloves Set,,,,,
led-mask-4-modes,"LED Halloween Mask, 4 Lighting Modes",,,,,
floating-candles-20pc,20-Piece Floating Candles with Magic Wand Remote,4.6,9,,supplier,tiktok
floating-candles-12pc,"12-Pack Floating Candles, Enchanted Set",,,,,
floating-candles-kidsafe,Kid-Safe Floating LED Candles with Wand,,,,,
pillar-candles-remote-3,"Flameless LED Pillar Candles, Set of 3",4.8,145,,supplier,tiktok
pumpkin-candle-holders-2,Pumpkin Candle Holder Set with Remote,4.6,43,1082,supplier,tiktok
solar-fairy-lights-80ft,"80ft Solar Fairy Lights, 2 Pack",4.5,599,10290,supplier,tiktok
halloween-tree-lights-black,"24in Black Halloween Tree Lights, 2 Pack",,,,,
halloween-tree-lights-24led,"24in Orange & Purple LED Tree, 2 Pack",4.6,754,,supplier,tiktok
under-cabinet-rgb-bars,RGB Under-Cabinet Light Bars,4.5,438,6915,supplier,tiktok
retro-pumpkin-desk-lamp,Retro Pumpkin & Bat Stained-Glass Desk Lamp,3.4,34,,supplier,tiktok
pumpkin-night-light-mini,Mini Pumpkin Bedside Night Light,,,,,
ghost-campfire-nightlight,Ghost Campfire Plug-In Night Light,4.1,18,,supplier,tiktok
hanging-ghosts-3pack,"Pre-Assembled Hanging Ghosts, 3 Pack",5.0,11,798,supplier,tiktok
ghost-swing-5ft-remote,5ft Hanging Ghost Swing with Remote Lights,4.5,215,,supplier,tiktok
spider-web-kit-lights,Spider Web Kit with 32ft String Lights,,,,,
glow-cobwebs-spiders,Glow Stretch Cobwebs with Spiders & Bats,,,,,
cauldron-fog-potion,Glow Cauldron with Fog Diffuser & Potion Bottles,3.9,130,,supplier,tiktok
tripod-cauldron-fog,Large Tripod Cauldron with Fog Maker,4.4,61,,supplier,tiktok
laser-swamp-projector,Waterproof Laser Swamp Light Projector,4.1,136,,supplier,tiktok
witch-broom-light-music,Light-Up Musical Witch Broom,4.1,59,,supplier,tiktok
bat-wall-stickers-160,160-Piece 3D Bat Wall Stickers,,,,,
led-bats-purple-36,36-Piece Purple LED 3D Bats,4.1,52,,supplier,tiktok
bat-decals-lightup,Light-Up 3D Bat Wall Decals,3.9,669,,supplier,tiktok
garage-door-bat-magnets,Glow Bat Garage Door Magnet Set,,,,,
witch-bat-magnet-set,Witch & Bat Car and Fridge Magnet Set,4.7,47,,supplier,tiktok
advent-calendar-31-nights,31 Nights of Fright Advent Calendar,3.7,9,,supplier,tiktok
bathroom-set-vintage,Vintage Halloween Bathroom Set,4.4,82,,supplier,tiktok
skeleton-vortex-rug,Skeleton Vortex Illusion Round Rug,,,,,
boo-kitchen-rug-set,"BOO! Kitchen Runner Rug Set, 2 Piece",4.4,20,,supplier,tiktok
ghost-candy-bowl-glow,Glow Ghost Candy Bowl with Lights,4.4,53,,supplier,tiktok
led-candy-totes,LED Trick-or-Treat Candy Totes,4.5,528,,supplier,tiktok
skeleton-pumpkin-figures-3,"Skeleton Pumpkin Table Figures, Set of 3",,,,,
resin-skeleton-ornament,Sitting Skeleton Resin Ornament,4.6,750,12866,supplier,tiktok
dragon-book-corner-light,3D Dragon Book Corner Light,,,,,
splatmat-bloody-bath-mat,SplatMat - Colour-Changing Bloody Bath Mat,,,,,
skeleton-cardigan-black,Black Skeleton Print Cardigan,4.8,635,9163,supplier,tiktok
skeleton-cardigan-colours,Skeleton Print Knit Cardigan,4.7,27,,supplier,tiktok
skull-drop-shoulder-sweater,Distressed Skull Drop-Shoulder Sweater,4.7,1450,19503,supplier,tiktok
toddler-ghost-overalls,Toddler Ghost & Pumpkin Corduroy Overalls,4.5,24,,supplier,tiktok
toddler-spooky-goose-sweater,Toddler 'Spooky Goose' Knit Sweater,,,,,
pumpkin-blanket-hoodie,Oversized Pumpkin Blanket Hoodie,4.8,5857,,supplier,tiktok
pumpkin-skull-slippers,Pumpkin & Skull Plush Slippers,,,,,
ghostface-phone-case,Dripping Ghostface Phone Case,,,,,
trick-or-treat-phone-case,Trick-or-Treat Glitter Phone Case with Strap,4.6,22,,supplier,tiktok
pumpkin-dog-collar,Pumpkin & Sunflower Dog Collar,,,,,
scary-face-headrest-covers,"Scary Face Car Headrest Covers, 2 Pack",,,,,
